work_id,work_title,token_index_id,chunk_id,clicked_surface_form,normalized_form,lexical_status,match_method,occurrence_count,lexicon_entry_id,surface_renderings,exported_statuses,exported_rendering_options,exported_source_names,exported_source_ids,exported_licenses,exported_claim_count,export_status,notes,not_a_translation
orot,Orot,tok-1ca9b8e7c431,orot-001,אבות,אבות,matched,direct,13,lex-4fc1d71e4c91,,Strict Hebrew | Potential,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,3,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-6fa5f5f91bb9,orot-007,אבותיה,אבותיה,matched,affix_parser,1,lex-4fc1d71e4c91,"her father, male parent | its father, male parent | her father | its father",Strict Hebrew | Potential,"her father, male parent | its father, male parent | her father | its father | father, male parent | father | Av",Wikidata Lexeme | OpenScriptures morphHB,L63591 | H1 | H178,CC0 | CC BY 4.0,6,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-3ede49097745,orot-004,אבותיו,אבותיו,matched,direct,2,lex-97bb656c9408,,Strict Hebrew,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-69e646037be4,orot-007,אבותינו,אבותינו,matched,direct,4,lex-31ab086f8aa5,,Strict Hebrew,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-a17d0cb10edc,orot-010,אבותם,אבותמ,matched,direct,1,lex-85ec2eb9e5ca,,Strict Hebrew,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-a1b98ffaa378,orot-010,"אבותם""","אבותמ""",matched,quote_artifact_cleanup,1,lex-85ec2eb9e5ca,father | chief,Strict Hebrew,father | chief | in a literal and immediate | figurative and remote application | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-decbe903d7ca,orot-015,אבותנו,אבותנו,matched,affix_parser,1,lex-4fc1d71e4c91,"our father, male parent | our father",Strict Hebrew | Potential,"our father, male parent | our father | father, male parent | father | Av",Wikidata Lexeme | OpenScriptures morphHB,L63591 | H1 | H178,CC0 | CC BY 4.0,6,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-909ae965713f,orot-009,אבטלה,אבטלה,matched,direct,1,lex-37419c8a7809,,Potential,"unemployment, when people are without work and actively seeking work | unemployment",Wikidata Lexeme,L63627,CC0,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-001ba4fb96b6,orot-000,אביבה,אביבה,matched,direct,1,lex-kaikki-03553f12e27a,,Potential,"early stage of ripening, especially of grains | season of beginning barley-crop | also, the offering of the first fruits (בכורים) (on Passover) | years of one's life",Wiktionary via Kaikki,kaikki-23765470f972,CC BY-SA 4.0 / GFDL,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-8537d1753f44,orot-008,אביונים,אביונימ,matched,direct,1,lex-9e685791e57f,,Strict Hebrew,destitute | beggar | needy | poor (man).,OpenScriptures morphHB,H34,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-6ec4e1ff55d9,orot-007,אבינו,אבינו,matched,direct,3,lex-5f5aa529f567,,Strict Hebrew | Potential,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-9c94cddefb3a,orot-010,אביר,אביר,matched,direct,2,lex-5d5da4782131,,Potential,"strong/powerful | knight, person granted an honorary title by a monarch or other political leader | knight | mighty (spoken of God) | mighty (one). | angel | bull | chiefest | mighty (one) | stout(-hearted) | strong (one) | valiant.",Wikidata Lexeme | OpenScriptures HebrewLexicon | OpenScriptures morphHB,L1347804 | L63632 | H46 | H47,CC0 | CC BY 4.0,4,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-0d724c9d0f77,orot-000,אבל,אבל,matched,direct,183,lex-7eb10aec8ff7,,Potential,mourning/grieving | grief | a stream | river. | to bewail | lament | mourn. | lamenting | mourn(-er | -ing). | a meadow | plain. Compare also the proper names beginning with Abel-. | lamentation | mourning. | nay | i.e. truly | yet | but | indeed | nevertheless | verily.,Wikidata Lexeme | OpenScriptures morphHB | OpenScriptures HebrewLexicon,L204498 | L74956 | H180 | H56 | H57 | H58 | H60 | H61,CC0 | CC BY 4.0,8,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-f0b635fbb64e,orot-016,אבן,אבנ,matched,direct,3,lex-7e2f561cc743,,Potential,"stone, rock; building material | stone | to build (literally and figuratively) | (begin to) build(-er) | obtain children | make | repair | set (up) | × surely. | a stone | carbuncle | mason | plummet | (chalk- | hail- | head- | sling-) stone(-ny) | stone. | a pair of stones (only dual) | a potter's wheel | a midwife's stool (consisting alike of two horizontal disks with a support between) | wheel | stool.",Wikidata Lexeme | OpenScriptures morphHB | OpenScriptures HebrewLexicon,L63635 | H1129 | H68 | H69 | H70,CC0 | CC BY 4.0,5,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-2ff7c26640b7,orot-003,אבני,אבני,matched,direct,1,lex-75235a375543,,Potential,"stone, rock; building material | stone | a stone | carbuncle | mason | plummet | (chalk- | hail- | head- | sling-) stone(-ny)",Wikidata Lexeme | OpenScriptures HebrewLexicon,L63635 | H68,CC0 | CC BY 4.0,2,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-49b00eab3520,orot-004,אבניה,אבניה,matched,direct,1,lex-cfa85cf7f818,,Potential,a stone | carbuncle | mason | plummet | (chalk- | hail- | head- | sling-) stone(-ny),OpenScriptures HebrewLexicon,H68,CC BY 4.0,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-ba36f17ce619,orot-012,אבנים,אבנימ,matched,direct,1,lex-42e79a9be64b,,Potential,"stone, rock; building material | stone | a stone | carbuncle | mason | plummet | (chalk- | hail- | head- | sling-) stone(-ny) | a pair of stones (only dual) | a potter's wheel | a midwife's stool (consisting alike of two horizontal disks with a support between) | wheel | stool.",Wikidata Lexeme | OpenScriptures HebrewLexicon,L63635 | H68 | H70,CC0 | CC BY 4.0,3,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-8b40f6b740bc,orot-009,אבנר,אבנר,matched,direct,1,lex-13d6e968fb48,,Strict Hebrew | Potential,given name | Abner,Wikidata Lexeme,L489734,CC0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-5a6fa386a403,orot-006,אבקי,אבקי,matched,direct,1,lex-f1d24060301c,,Potential,"dust, small particles in the air | dust",Wikidata Lexeme,L63646,CC0,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-5c4545fd1b60,orot-006,אבר,אבר,matched,direct,1,lex-c1055d01f494,,Strict Hebrew | Potential,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,3,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-713069ff399f,orot-007,אברהם,אברהמ,matched,direct,7,lex-54ebaee5afd5,,Strict Hebrew | Potential,Avraham | Abraham,Wikidata Lexeme,L74978,CC0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-d5648ab1f991,orot-014,"אברהם""","אברהמ""",unmatched,unmatched,1,,,,,,,,0,unresolved,No lexical entry yet.,true
orot,Orot,tok-30967c6430e8,orot-003,אברים,אברימ,matched,direct,1,lex-99ac1824730f,,Strict Hebrew | Potential,"organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme,L63650,CC0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-b3fc52ec2906,orot-012,אברין,אברינ,unmatched,unmatched,1,,,,,,,,0,unresolved,No lexical entry yet.,true
orot,Orot,tok-5eb2765fa7bf,orot-006,אברכה,אברכה,matched,direct,1,lex-3122178e639d,,Potential,to kneel | by implication to bless God (as an act of adoration) | and (vice-versa) man (as a benefit) | also (by euphemism) to curse (God | the king | as treason) | × abundantly | × altogether,OpenScriptures morphHB,H1288,CC BY 4.0,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-7514453e64c8,orot-007,אגד,אגד,matched,direct,1,lex-f98e16c346e5,,Potential,properly | to front | i.e. stand boldly out opposite | by implication (causatively) | to manifest | figuratively | to announce (always by word of mouth to one present) | specifically,OpenScriptures HebrewLexicon,H5046,CC BY 4.0,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-913647a5c2ea,orot-009,אגודה,אגודה,matched,direct,1,lex-3a38181c8a03,,Potential,bundled | association,Wikidata Lexeme,L204353 | L63654,CC0,2,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-e8449d7d6b38,orot-015,אגודת,אגודת,matched,direct,1,lex-76ca129fd36a,,Potential,bundled | association,Wikidata Lexeme,L204353 | L63654,CC0,2,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-8478847be8de,orot-008,אגודתם,אגודתמ,unmatched,unmatched,1,,,,,,,,0,unresolved,No lexical entry yet.,true
orot,Orot,tok-6a002aea1109,orot-007,אגור,אגור,matched,direct,1,lex-b2cd474c7ada,,Strict Hebrew | Potential,accumulated,Wikidata Lexeme,L204356,CC0,3,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-02ad7c0b6b2c,orot-000,אדומה,אדומה,matched,direct,1,lex-8d76cd6cb1de,,Strict Hebrew,red,Wikidata Lexeme,L63672,CC0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-9e45cf9d5a29,orot-010,אדון,אדונ,matched,direct,3,lex-969fc8b877fc,,Strict Hebrew | Potential,mister,Wikidata Lexeme,L63673,CC0,4,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-69d9a3abc872,orot-007,אדוני,אדוני,matched,direct,1,lex-c91a97c9580c,,Strict Hebrew | Potential,mister,Wikidata Lexeme,L63673,CC0,3,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-904d6f322036,orot-009,אדוננו,אדוננו,matched,direct,1,lex-a8a4b54178eb,,Strict Hebrew,mister,Wikidata Lexeme,L63673,CC0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-334def5c77b1,orot-003,אדות,אדות,matched,direct,1,lex-806e88303b6f,,Strict Hebrew,turnings (i.e. occasions ) | (adverb) on account of | (be-) cause | concerning | sake.,OpenScriptures morphHB,H182,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-d07597b47df8,orot-014,אדיר,אדיר,matched,direct,6,lex-2e5a624fa331,,Strict Hebrew | Potential,huge,Wikidata Lexeme,L204378,CC0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-cdb2b7e5f906,orot-013,אדירה,אדירה,matched,direct,5,lex-95621122a71f,,Strict Hebrew,huge,Wikidata Lexeme,L204378,CC0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-1e479d56be56,orot-002,אדירות,אדירות,matched,direct,1,lex-d7c488feb97c,,Strict Hebrew,huge,Wikidata Lexeme,L204378,CC0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-7cfb668f67aa,orot-008,אדירים,אדירימ,matched,direct,2,lex-ab0e6970d20b,,Strict Hebrew | Potential,huge,Wikidata Lexeme,L204378,CC0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-479fcf47aebf,orot-004,אדם,אדמ,matched,direct,47,lex-6d5834290f84,,Potential,"red | human, common name of Homo sapiens, unique extant species of the genus Homo | human | to show blood (in the face) | i.e. flush | turn rosy | be (dyed | made) red (ruddy). | ruddy i.e. a human being (an individual | the species | mankind | etc.) | × another | hypocrite | common sort | × low | rosy | ruddy. | Edom | the elder twin-brother of Jacob | hence the region (Idumaea) occupied by him | Edomites | Idumea. | redness | i.e. the ruby | garnet | some other red gem | sardius. | to be dumb | by implication | to be astonished | to stop | also to perish | cease | be cut down (off) | forbear | Obed-Edom | the name of five Israelites | Obed-edom.",Wikidata Lexeme | OpenScriptures HebrewLexicon | OpenScriptures morphHB,L63672 | L63680 | H119 | H120 | H122 | H123 | H124 | H1826 | H5654,CC0 | CC BY 4.0,9,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-313eac804883,orot-003,"אדם""","אדמ""",unmatched,unmatched,2,,,,,,,,0,unresolved,No lexical entry yet.,true
orot,Orot,tok-7253d0897c2f,orot-007,אדמה,אדמה,matched,direct,2,lex-db0e7ceeaba8,,Potential,red | rosy | ruddy. | Admah | a place near the Dead Sea | Admah. | soil (from its general redness) | country | earth | ground | husband(-man) (-ry) | land. | to compare | by implication | to resemble | liken | consider | compare | devise | (be) like(-n),Wikidata Lexeme | OpenScriptures HebrewLexicon | OpenScriptures morphHB,L63672 | H122 | H126 | H127 | H1819,CC0 | CC BY 4.0,5,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-593fa2371c1a,orot-005,"אדמה""","אדמה""",unmatched,unmatched,1,,,,,,,,0,unresolved,No lexical entry yet.,true
orot,Orot,tok-cfa23640cfa3,orot-013,אדמת,אדמת,matched,direct,4,lex-5a4ca0c2c7f1,,Strict Hebrew | Potential,red,Wikidata Lexeme,L63672,CC0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-fa7b7c4e32a6,orot-016,אדמתה,אדמתה,matched,direct,1,lex-c5d0a7c10517,,Strict Hebrew,soil (from its general redness) | country | earth | ground | husband(-man) (-ry) | land.,OpenScriptures morphHB,H127,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-46e424fde3b1,orot-004,אדמתו,אדמתו,matched,direct,3,lex-0b9088967aa7,,Strict Hebrew,soil (from its general redness) | country | earth | ground | husband(-man) (-ry) | land.,OpenScriptures morphHB,H127,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-deb344bb0dee,orot-014,אדמתכם,אדמתכמ,matched,direct,1,lex-be35de04eff3,,Strict Hebrew,soil (from its general redness) | country | earth | ground | husband(-man) (-ry) | land.,OpenScriptures morphHB,H127,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-7f295a36156a,orot-008,אדמתנו,אדמתנו,matched,direct,3,lex-75b60d51e660,,Strict Hebrew,soil (from its general redness) | country | earth | ground | husband(-man) (-ry) | land.,OpenScriptures morphHB,H127,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-e6c53cd7bdb2,orot-015,אדנות,אדנות,matched,direct,1,lex-bf778f5265a1,,,,,,,0,matched_no_public_claim_exported,"Token is matched internally, but no public source-backed rendering row was exported.",true
orot,Orot,tok-527248ec7f49,orot-005,אדע,אדע,matched,direct,1,lex-2e16be573e7d,,Potential,to know (properly | to ascertain by seeing ) | used in a great variety of senses | figuratively | literally | euphemistically and inferentially (including observation | care | recognition,OpenScriptures morphHB,H3045,CC BY 4.0,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-4238d208729a,orot-004,אדרבא,אדרבא,matched,direct,1,lex-a567c388966d,,,,,,,0,matched_no_public_claim_exported,"Token is matched internally, but no public source-backed rendering row was exported.",true
orot,Orot,tok-4578f77b5335,orot-004,אדרין,אדרינ,unmatched,unmatched,1,,,,,,,,0,unresolved,No lexical entry yet.,true
orot,Orot,tok-0087ee00f2cf,orot-000,אה,אה,matched,direct,1,lex-0d6dfe2f6f17,,Strict Hebrew,fourth.,OpenScriptures morphHB,H7244,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-6820554717ca,orot-006,אהבה,אהבה,matched,direct,22,lex-3d6242cc223c,,Strict Hebrew | Potential,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,3,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-5c986d1ff19a,orot-006,אהבת,אהבת,matched,direct,16,lex-f337c6a67920,,Strict Hebrew | Potential,affection | love | romantic love,Wikidata Lexeme,L45122,CC0,3,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-dc6bc4a40e00,orot-014,אהבתה,אהבתה,matched,direct,2,lex-kaikki-d7697cb6bff8,,Potential,"love, affection",Wiktionary via Kaikki,kaikki-fb4e34d22c19,CC BY-SA 4.0 / GFDL,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-e380bfb2c09e,orot-015,אהבתו,אהבתו,matched,direct,1,lex-kaikki-ae7272b03c1b,,Potential,"love, affection",Wiktionary via Kaikki,kaikki-fb4e34d22c19,CC BY-SA 4.0 / GFDL,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-4494cbf857f1,orot-004,אהבתי,אהבתי,matched,direct,1,lex-38bf5edde0ed,,Potential,to have affection for (sexually | otherwise) | (be-) love(-d | -ly | -r) | like | friend. | love.,OpenScriptures morphHB,H157 | H160,CC BY 4.0,2,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-f4d42888f939,orot-016,אהבתם,אהבתמ,matched,direct,2,lex-460850fa40ec,,Potential,to have affection for (sexually | otherwise) | (be-) love(-d | -ly | -r) | like | friend. | love.,OpenScriptures morphHB,H157 | H160,CC BY 4.0,2,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-c2d9d6f88766,orot-013,אהבתנו,אהבתנו,matched,direct,2,lex-ef106acb1e15,,Strict Hebrew,to have affection for (sexually | otherwise) | (be-) love(-d | -ly | -r) | like | friend.,OpenScriptures morphHB,H157,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-982654a791db,orot-010,אהטר,אהטר,unmatched,unmatched,1,,,,,,,,0,unresolved,No lexical entry yet.,true
orot,Orot,tok-971cf9e2883c,orot-010,אהיה,אהיה,matched,direct,4,lex-c2f5a5b6b379,,Strict Hebrew,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-543f5378edc0,orot-005,"אהיה""","אהיה""",matched,quote_artifact_cleanup,1,lex-c2f5a5b6b379,become,Strict Hebrew,become | to exist | i.e. be | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-110eaa48a77d,orot-001,אהל,אהל,matched,direct,1,lex-010e0fa2c0ca,,Potential,to be clear | shine. | to tent | pitch (remove) a tent. | a tent (as clearly conspicuous from a distance) | covering | (dwelling) (place) | home | tabernacle | tent. | Ohel | an Israelite | Ohel. | these | those | an-(the) other | one sort | so | some | such | them,OpenScriptures HebrewLexicon | OpenScriptures morphHB,H166 | H167 | H168 | H169 | H428,CC BY 4.0,5,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-96bb3ab12652,orot-010,אהלך,אהלכ,matched,direct,1,lex-3aaab236cbc4,,Potential,a tent (as clearly conspicuous from a distance) | covering | (dwelling) (place) | home | tabernacle | tent. | to walk (in a great variety of applications | literally and figuratively) | (all) along | apace | behave (self) | come | (on) continually | be conversant,OpenScriptures morphHB,H168 | H1980,CC BY 4.0,2,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-09b9eee4aaff,orot-000,אהרן,אהרנ,matched,direct,1,lex-566b4a521562,,Strict Hebrew,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-825b4ece8878,orot-008,או,או,matched,project_function_word,35,lex-function-word-9c6fc25f078a,,Strict Hebrew,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-1e9c97147ae7,orot-002,אוֹ,או,matched,project_function_word,1,lex-function-word-9c6fc25f078a,,Strict Hebrew,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-966898ebd4f9,orot-010,אובד,אובד,matched,direct,2,lex-646faa70a04a,,Strict Hebrew | Potential,to be lost,Wikidata Lexeme,L184910,CC0,2,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-2365c19f3770,orot-002,אובדות,אובדות,matched,direct,1,lex-53159eec20a0,,Strict Hebrew,to be lost,Wikidata Lexeme,L184910,CC0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-0f0c12eb516a,orot-001,אובדים,אובדימ,matched,direct,1,lex-12cf971f9d12,,Strict Hebrew,to be lost,Wikidata Lexeme,L184910,CC0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-9e94bd5a9eab,orot-010,אודה,אודה,matched,direct,1,lex-3b87468ed81f,,Potential,physically | to throw (a stone | an arrow) at | away | especially to revere | worship (with extended hands) | intensively | to bemoan (by wringing the hands),OpenScriptures morphHB,H3034,CC BY 4.0,1,source_backed_non_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
orot,Orot,tok-7b1b73651c2d,orot-008,אודים,אודימ,matched,direct,1,lex-c8770ce2fadc,,Strict Hebrew,a poker (for turning | gathering embers) | (fire-) brand.,OpenScriptures morphHB,H181,CC BY 4.0,1,source_backed_strict_options,"Use claim rows for source/license details; this is a token-status index, not a translation.",true
